t030300_0030	Aa aa, akana	skvr02105650,skvr09117010,skvr09117020,skvr09117030,skvr09117040,skvr09117050,skvr09117060,skvr09117070,skvr09117080,skvr09117090,skvr09117100,skvr09117110,skvr09117120,skvr09118200,skvr09118210,skvr09118920,skvr09121550,skvr09121620,skvr09202530,skvr05218340,skvr06109550,skvr06109560,skvr06109570,skvr06109580,skvr06109590,skvr06109600,skvr06109610,skvr06109620,skvr06109630,skvr06109640,skvr06109651,skvr06109650,skvr06109661,skvr06109660,skvr06165740,skvr06165750,skvr06165760,skvr06165770,skvr07133180,skvr07133190,skvr07133201,skvr07133200,skvr07133210,skvr07133220,skvr07133230,skvr07133240,skvr07133250,skvr07133260,skvr07133270,skvr07133280,skvr07133290,skvr07133300,skvr07133310,skvr07133320,skvr07133330,skvr07135120,skvr08126000,skvr08126010,skvr08126020,skvr08126030,skvr08126040,skvr10103421,skvr12104400,skvr12104410,skvr12104420,skvr12104430,skvr12104440,skvr12104450,skvr12104460,skvr12104470,skvr12104480,skvr12104490,skvr12104500,skvr12104510,skvr12104520,skvr12104530,skvr12104540,skvr12104550,skvr12104560,skvr12104570,skvr13049920,skvr13049930,skvr13049940,skvr13049950,skvr13049960,skvr13049970,skvr13049980,skvr13049990,skvr13050000,skvr13050010,skvr13050020,skvr13050030,skvr13050040,skvr13050050,skvr13050060,skvr13050070,skvr13050080,skvr13050090,skvr13050100,skvr13050110,skvr13050120,skvr13050130,skvr13050140,skvr13050150,skvr13050160,skvr13050170,skvr13050180,skvr13050190,skvr13050200,skvr13050210,skvr13050220,skvr13050230,skvr13050240,skvr13057260,skvr13059000,skvr13059010,skvr13059060,skvr13066570,skvr13111170,skvr13111180,skvr13111190,skvr13111200,skvr13111210,skvr13111220,skvr13111230,skvr13111240,skvr13111250,skvr13111260,skvr13111270,skvr13111280,skvr13111290,skvr13111300,skvr13111310,skvr13111320,skvr13111330,skvr13111340,skvr13111350,skvr13111360,skvr13111370,skvr13111380,skvr13111390,skvr13112420,skvr14104350,skvr14109720,skvr14109730,skvr14109740,skvr14109750,skvr14109760,skvr14109770,skvr14109780,skvr14109790,skvr14109800,skvr14109810
t030300_0040	Aa aa akeri	skvr14103010
t030300_0050	Aa aa akkasta	skvr10103360
t030300_0060	Aa aa akkelee, kuka lasta nakkelee	skvr09117140,skvr09117150,skvr09117160,skvr09120850,skvr13049890,skvr13049900,skvr13111140,skvr13111150,skvr14103020
t030300_0070	Aa aa akkerin Maija	skvr09114500,skvr09114840,skvr09114930,skvr09115270,skvr09117170,skvr09117180,skvr09117190,skvr09117200,skvr09117210,skvr09117220,skvr09117230,skvr09117240,skvr09117250,skvr09117260,skvr09117270,skvr09117280,skvr09117290,skvr09117300,skvr09117310,skvr09117320,skvr09117330,skvr09117340,skvr09117350,skvr09117360,skvr09117370,skvr09117380,skvr09117390,skvr09117400,skvr09117410,skvr09117420,skvr09117430,skvr09117440,skvr09117450,skvr09117460,skvr09117470,skvr09117480,skvr09117490,skvr09117500,skvr09117510,skvr09117520,skvr09117530,skvr09117540,skvr09117550,skvr09117560,skvr09117570,skvr09117580,skvr09117590,skvr09117600,skvr09117610,skvr09117620,skvr09117630,skvr09117640,skvr09117650,skvr09117660,skvr09117670,skvr09117680,skvr09117690,skvr09117700,skvr09117710,skvr09117720,skvr09117730,skvr09117740,skvr09117750,skvr09117760,skvr09117770,skvr09117780,skvr09117790,skvr09117800,skvr09117810,skvr09117820,skvr09117830,skvr09117840,skvr09117850,skvr09117860,skvr09117870,skvr09117880,skvr09117890,skvr09117900,skvr09117910,skvr09117920,skvr09117930,skvr09117940,skvr09117950,skvr09117960,skvr09117970,skvr09117980,skvr09117990,skvr09118000,skvr09118010,skvr09118020,skvr09118030,skvr09118040,skvr09118050,skvr06109670,skvr06109680,skvr06109690,skvr07133540,skvr08126050,skvr08126060,skvr08126070,skvr08126080,skvr08126090,skvr08126100,skvr08126110,skvr08126120,skvr08126130,skvr08126140,skvr08126150,skvr08126160,skvr08126170,skvr08126180,skvr08126190,skvr08137120,skvr08148090,skvr08148100,skvr08148110,skvr10103760,skvr10103771,skvr10103770,skvr10103781,skvr10103780,skvr10103790,skvr10103800,skvr10103810,skvr10103820,skvr10103830,skvr10103840,skvr10103850,skvr10103861,skvr10103860,skvr10103870,skvr10103880,skvr10103890,skvr10103900,skvr10103910,skvr10103920,skvr10103930,skvr10103940,skvr10103950,skvr10103960,skvr10103970,skvr10103980,skvr10103990,skvr10104000,skvr10104010,skvr10104020,skvr10104030,skvr10104040,skvr10104050,skvr10104060,skvr10104070,skvr10104080,skvr10104090,skvr10104101,skvr10104100,skvr10104110,skvr10104121,skvr10104122,skvr10104120,skvr10104130,skvr10104141,skvr10104142,skvr10104140,skvr10104150,skvr10104160,skvr10107581,skvr10109180,skvr11101510,skvr11101520,skvr12111700,skvr12104580,skvr13049880,skvr13081920,skvr13111410,skvr13111420,skvr13111430,skvr14103030,skvr14103040,skvr14103050,skvr14103060,skvr14103070,skvr14103080,skvr14103090,skvr14103100,skvr14103110,skvr14103120,skvr14103130,skvr14103240,skvr14103260
t030300_0080	Aa aa allallaa	skvr13049980,skvr13050600,skvr13061480
t030300_0090	Aa aa aller keller	skvr13059030
t030300_0100	Aa aa allersoo	skvr09118060,skvr09118070,skvr09118080,skvr08126200,skvr10103290
t030300_0110	Aa aa allia, Alli keittää velliä	skvr06171190
t030300_0120	Aa aa allii	skvr10103330,skvr10106650
