t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t020801_0450	Neito osaa ovissa käydä	skvr04109290,skvr05209390
t020801_0460	Nuoruusajan kaiho	skvr04138570,skvr13027460
t020801_0470	Nyt kulemme kummasina, ensi vuonna kukkasina	skvr05208360,skvr13025370,skvr13025380,skvr13081030
t020801_0480	Nyt on meiän mielivalta	skvr03101700,skvr03137900,skvr04129080,skvr05219700,skvr05202180,skvr05200230,skvr05224230,skvr05200940,skvr05302840,skvr07142560,skvr13047200,skvr13076740,skvr15112250
t020802_0510	Niin tyttö isän kotona - niin miniä miehelässä	skvr02105180,skvr03101720,skvr03102100,skvr03102870,skvr03100370,skvr03107800,skvr03100840,skvr03108860,skvr03108880,skvr03109390,skvr03109400,skvr03115390,skvr03115410,skvr03115420,skvr03115460,skvr03118390,skvr03120730,skvr03121110,skvr03125980,skvr03129680,skvr03130330,skvr03132910,skvr03136940,skvr03138770,skvr03138860,skvr03140280,skvr03142430,skvr04111080,skvr04101730,skvr04100240,skvr04103630,skvr04105630,skvr04106080,skvr04100780,skvr04109540,skvr04109550,skvr04109570,skvr04116590,skvr04121830,skvr04121870,skvr04121900,skvr04121920,skvr04123640,skvr04126220,skvr04132580,skvr04132860,skvr04136190,skvr05112720,skvr05112730,skvr05201240,skvr05212770,skvr05221600,skvr05223010,skvr05224400,skvr05200390,skvr05206770,skvr05206870,skvr05206880,skvr05206890,skvr05206900,skvr05206910,skvr05206920,skvr05206940,skvr05206950,skvr05206960,skvr05206970,skvr05206980,skvr05206990,skvr05207000,skvr05207010,skvr05207020,skvr05207030,skvr05207040,skvr05207050,skvr05207060,skvr05207070,skvr05207080,skvr05207090,skvr05207100,skvr05207110,skvr05207120,skvr05207130,skvr05207140,skvr05207440,skvr05207450,skvr05305301,skvr05305300,skvr05305550,skvr06106280,skvr06165410,skvr07121070,skvr07121080,skvr07124450,skvr07131180,skvr07140020,skvr07145600,skvr10101630,skvr13012180,skvr13015700,skvr13001830,skvr13023930,skvr13023970,skvr13024110,skvr13024120,skvr13024130,skvr13024140,skvr13026120,skvr13026130,skvr13026140,skvr13026150,skvr13026160,skvr13026170,skvr13026180,skvr13026190,skvr13026200,skvr13026210,skvr13026220,skvr13026230,skvr13026240,skvr13006170,skvr13006180,skvr13006190,skvr13006200,skvr13006210,skvr13006220,skvr13006240,skvr13006250,skvr13006260,skvr13027710,skvr13036680,skvr13036830,skvr13037750,skvr13080970,skvr13081460,skvr13107380,skvr13107400,skvr13107410,skvr13107420
t020802_0520	Nouse, päivä, nosta poika	skvr07125930
t020802_0530	Nuorena naitettu	skvr01113900,skvr04110910,skvr04110920,skvr04111020,skvr04108060,skvr05101910,skvr05212000,skvr05212470,skvr05212770,skvr05212780,skvr05212790,skvr05224070,skvr05205150,skvr05206900,skvr05206920,skvr05206970,skvr05207050,skvr05207480,skvr07117250,skvr07118370,skvr07121100,skvr07121110,skvr07121120,skvr07121130,skvr07125950,skvr12162090,skvr13012180
t020803_0420	Naisen valitus pojan (miehen) viemisestä sotaan	skvr03128990,skvr03132640,skvr03134360,skvr04121370,skvr04121760,skvr04134490,skvr04140020,skvr04145890,skvr05208610,skvr05209690,skvr07125380
t020803_0430	Nauran naimiskauppojani	skvr05305740,skvr05306140,skvr13027630
t020901_0060	Näin pojat kylissä käyvät	skvr13029200
