t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t061000_0020	Ehtynyt tai pilattu lehmä lypsäväksi	skvr01215180,skvr01215190,skvr01215200,skvr01215210,skvr01215221,skvr01215222,skvr01215220,skvr01215230,skvr01215240,skvr01215250,skvr01215260,skvr01215270,skvr01215280,skvr01215290,skvr01215300,skvr01215310,skvr01215320,skvr01215330,skvr01215340,skvr01215350,skvr01215360,skvr01215370,skvr01215380,skvr01215400,skvr01224800,skvr01224810,skvr02110270,skvr02109970,skvr03145890,skvr09311600,skvr09311610,skvr09311620,skvr09413850,skvr05226450,skvr05226460,skvr06152330,skvr06155530,skvr06155540,skvr06155550,skvr06155560,skvr06155570,skvr06155580,skvr06155590,skvr06155600,skvr06155610,skvr06155620,skvr06155630,skvr06155640,skvr06155650,skvr06155660,skvr06155670,skvr06155680,skvr06155690,skvr06155700,skvr06155710,skvr06175261,skvr06175260,skvr06175270,skvr06175280,skvr06175290,skvr07238850,skvr07238860,skvr07238870,skvr07238880,skvr07238890,skvr07238910,skvr07238920,skvr07238960,skvr07238980,skvr07239010,skvr07239020,skvr07239040,skvr07239290,skvr07240850,skvr07240870,skvr07240880,skvr07240950,skvr07240960,skvr07240970,skvr07240990,skvr07241000,skvr07241010,skvr07241050,skvr07241070,skvr07241100,skvr07241110,skvr07241140,skvr07242340,skvr10141891,skvr10143250,skvr10143260,skvr10143270,skvr10143280,skvr10143290,skvr10143300,skvr10143310,skvr10143510,skvr10155390,skvr10155400,skvr11121990,skvr11122000,skvr12170551,skvr12170590,skvr12170600,skvr12170610,skvr12170620,skvr12170630,skvr12170640,skvr12170660,skvr12170670,skvr12170680,skvr12170690,skvr13097070,skvr13097300,skvr13097520,skvr13097930
t061000_0030	Elättiketun kadehtijaa vastaan	skvr12136170
t061100_0030	Eläimen kuoltua	skvr12173460
t061100_0040	Eläimen pilatun ruokahalun parantaminen	skvr01216700,skvr09310470,skvr09411930,skvr10140920,skvr10140930,skvr10141890,skvr10141900,skvr10141920,skvr10141930,skvr10143300,skvr12173020,skvr12173340,skvr12173350,skvr13097290
t061100_0050	Eläimen verensulkusanat	skvr02110280,skvr09312840,skvr09312850,skvr06152140,skvr06152150
t061100_0060	Elättikäärme	skvr06139990
t061100_0070	Erilaisia karjan tauteja	skvr02110240,skvr02113930,skvr06152370,skvr06174830,skvr06174840,skvr07242320,skvr07242390,skvr08105270,skvr10145900,skvr10146440,skvr10146450,skvr10146460,skvr10146470,skvr12172810,skvr12173410
t061500_0040	Eksyksissä	skvr01220260,skvr01220270,skvr02110920,skvr09416040,skvr12179340,skvr12179350,skvr12179360,skvr13100750
t061500_0050	Ennustus	skvr01220250,skvr02110860,skvr06163350,skvr06163430,skvr06163440
t061600_0050	Eläinten puremien historioloita	skvr09406090,skvr10127180,skvr10145870,skvr10145880,skvr10153910,skvr12151410,skvr12151690
t061600_0060	Erilaisia syntyjä	skvr02107920,skvr02108000,skvr09415290,skvr06129830,skvr06129840,skvr06129850,skvr06129860,skvr06134750,skvr06152810,skvr07216090,skvr07216900,skvr07231940
t061600_0070	Etanan synty	skvr07244930
t061700_0010	Ei tuli kivettä synny	skvr07206080
t061800_0050	Erilaisia rukouksia ja siunauksia	skvr06163840,skvr10151550,skvr14128150,skvr15101420,skvr15101910,skvr15105160
t062000_0010	Eliniän tiedustelu käeltä	skvr02110891,skvr02114020,skvr03146040,skvr03146050,skvr09316420,skvr05207780,skvr05313181,skvr05313180,skvr05313190,skvr06163470,skvr06163530,skvr06163540,skvr07145680,skvr07145690,skvr07145740,skvr07245680,skvr07245690,skvr07245740,skvr10152130,skvr10152140,skvr10152150,skvr10152160,skvr10152170,skvr10152180,skvr10152190,skvr11124480,skvr11124490,skvr11124500,skvr11124510,skvr11124520,skvr12180430,skvr12180440,skvr12180450,skvr12180460,skvr12180470,skvr12180480,skvr12180490,skvr12180500,skvr12180510,skvr12180520,skvr12180530,skvr12180540,skvr12180550,skvr12180560,skvr12180570,skvr13001830,skvr13025180,skvr13025190,skvr13025200,skvr13025210,skvr13100860,skvr13100870,skvr13100890,skvr13100900,skvr13100910,skvr13100920,skvr13100930,skvr13100940,skvr13100950,skvr13100960,skvr13132530,skvr13132550,skvr13132570,skvr13132580,skvr13132590,skvr13132600,skvr14128080,skvr14128090,skvr14128100,skvr14128110
t070100_0160	Ei armaskaan anoppi vedä vertoja emolle	skvr15105000
t070100_0170	Ei auta kilin kikerrös, jos ei pässi päätä käännä	skvr13082820,skvr13082840
t070100_0180	Ei hyvä hylykse jouva	skvr05311450,skvr05305880,skvr13039030
t070100_0190	Ei hästit häitä kiitä	skvr01120170
t070100_0200	Ei jaksa jalka nousta, perse penkistä yletä	skvr13104410
t070100_0210	Ei jouda jouten olla, jos on mieli miestä saada	skvr15101521
t070100_0220	Ei kahta pidä naida yhteen taloon	skvr05221930
t070100_0230	Ei kaikki oo kalavesillä, kaikki ei kirkon naapurissa	skvr13082920
t070100_0240	Ei kangas korjellen kudota	skvr15100080
t070100_0250	Ei kaunis kaselle joua	skvr15105010
t070100_0260	Ei kehu kelpo rikas	skvr13082830
t070100_0270	Ei korpi kiviä kasva, kangas ei kasva karpaleita	skvr05111590,skvr05111600,skvr05111610,skvr05111620,skvr05105720,skvr05220740,skvr05222000,skvr05222310,skvr05222560,skvr05222570,skvr06102520,skvr06125690,skvr06107240,skvr13012840,skvr13001620,skvr13001640,skvr13001650,skvr13001660,skvr13079760
t070100_0280	Ei leipä syöden lopu, leipä loppuu saamiseen	skvr05311900,skvr05302960,skvr05302970,skvr05302980,skvr05302990,skvr05303750,skvr13019090,skvr13047270
t070100_0290	Ei Luojalta lopu tavara	skvr13126890
t070100_0300	Ei maa hätään heitä	skvr13083240
t070100_0310	Ei niin pientä ojaa, ettei mieli mereen	skvr05311480,skvr13083300,skvr13083310,skvr13083320,skvr13083330,skvr13083340,skvr13083350,skvr13083360,skvr13083370,skvr13083380,skvr13083430
t070100_0320	Ei ole isoa iäksi	skvr04116910,skvr05203170,skvr13023210,skvr13023220,skvr13041300,skvr13082850,skvr13106690,skvr13107040
t070100_0330	Ei ole joka orolla	skvr05311490
t070100_0340	Ei ole kiirettä kivelle	skvr01223650,skvr05201630,skvr05221410,skvr05209491,skvr05311120,skvr05305800,skvr07119080,skvr13017430,skvr13020150,skvr13027121,skvr13033900,skvr13078980
t070100_0350	Ei ole miestä mennehestä	skvr01110080,skvr01107580,skvr01113420,skvr01113880,skvr12181310,skvr12181340,skvr12181390
t070100_0360	Ei ole paimenen pyhästä	skvr04135050,skvr04136670,skvr04136680,skvr04136700,skvr04136710,skvr04137990,skvr04139410,skvr05201930,skvr13022450,skvr13077630
t070100_0370	Ei onni hyvänäkään syötä miestä syrjällään	skvr13009610,skvr13083630
t070100_0380	Ei oo tästä elännästä, kun on monta emäntää	skvr15105020
t070100_0390	Ei oppi ojaan kaada	skvr13083640
t070100_0400	Ei pidä piikalapsen tuvatonta tunnustella	skvr07144170,skvr13082860
t070100_0410	Ei piä lukkee Luojan töitä	skvr05107710,skvr05222030,skvr05222970,skvr05205980,skvr05206160,skvr05310650,skvr13001830,skvr13020150,skvr13023980,skvr13026550,skvr13028620,skvr13029740,skvr13030230,skvr13047230
t070100_0420	Ei pyyssä kahan jakoa	skvr01101130
t070100_0430	Ei salli savinen pelto koreaista kyntäjäistä	skvr03108220,skvr05211230,skvr05215610,skvr05311200,skvr05311300,skvr05311510,skvr06128010,skvr06130320,skvr07244770,skvr13001300,skvr13078830,skvr13078840,skvr13078850,skvr13078860,skvr13078870,skvr13078880,skvr13078890,skvr13078900,skvr15100110,skvr15101460
t070100_0440	Ei sika sikeensä makaa toisen sian tonkiessa	skvr15101470
t070100_0450	Ei silloin hyvin eletä, kun siskot sivuitse käyvät	skvr05113250,skvr05213570,skvr05221940,skvr05222010,skvr13022070,skvr13022630,skvr13033300,skvr13033310,skvr13033320,skvr13041250
t070100_0460	Ei silloin hyvin hypätty, kun on sukka suolle jäänyt	skvr05311520
t070100_0470	Ei silloin siat sikiä, kun porsaat potevi	skvr15101480
t070100_0480	Ei silloin sika makkaa sian toisen tonkiessa	skvr05312070
t070100_0490	Ei sillä siat sikiä, joka ei syrji syötyänsä	skvr09314320,skvr15105030,skvr15105690
t070100_0500	Ei sillä sukua suurta, kellä ei suurta kellaria	skvr15105040,skvr15105770
t070100_0510	Ei sovi sotoa kaksi yksille yötulille	skvr15105050,skvr15105530,skvr15105620
t070100_0520	Ei sukset sulalla juokse, ven' ei viere pakkasella	skvr05312030
t070100_0530	Ei terve tiedäkään voimattoman vuotehia	skvr05311850
t070100_0540	Ei unta verosta viedä	skvr15105060
t070100_0550	Ei vanha valetta hauku	skvr04137980,skvr07128640,skvr07145010
t070100_0560	Eihä lämmin luita murra	skvr05312310
t070100_0570	Eipä maaten markat saaha	skvr01120180
t070100_0580	Elävän mieli eteensä	skvr13020830
t070100_0590	Elää kun punanen pälvi	skvr05311550
t070100_0600	Emännäll on eljet kolmet	skvr04134760,skvr12102210,skvr15100120
t070100_0610	Emäntä hyvä kotona, vaikka ilman istukoon	skvr05206620,skvr05209730,skvr06127300,skvr06128050,skvr07127910,skvr07127920,skvr13082870,skvr15105250,skvr15105260,skvr15105760
t070100_0620	Ennen kiiskiä kirosit, nyt alat sieniä simmailla	skvr05222420
t070100_0630	Ennen uutta ompelisi, ennen kuin vanhaa vahoisi	skvr13082900
t070100_0640	Ennenkuin kukko kyntää	skvr13082890
t070100_0650	Etsi Suomet sorkeinta, tuli sossa sormiin	skvr15101190,skvr15101200,skvr15101210,skvr15100130
t070300_0040	Elkiltä melki	skvr12182000
t070300_0050	Elli, Kiilo, Kopo, Närvä	skvr10117790,skvr10117800
t070300_0060	Eskelän emännät	skvr06104990
t070400_0030	Ei oo ilman imehittä	skvr07144970
t070400_0040	Ei oo syy pierijässä vaan penkin veistäjässä	skvr13046100,skvr13083690,skvr13109910,skvr13121440
t070400_0050	Ei ou ei niin leivänpalaa	skvr07144980
t070400_0060	Ei ryskä riihessä, puurokupilla nuoha syttyy	skvr06128090
t070400_0070	En minä joudu jouluna	skvr12181070
t070400_0080	En tunne enää isäntää	skvr13081070
t070400_0090	Ennen päivän nousemista	skvr07145030
t070500_0010	Etana ja kettu	skvr07114420
t080100_0030	Ei lapsi käsissä kärsi, ku ei kärsi kätkyees	skvr13064410,skvr13112710
t080100_0040	Ei niin viisasta, jot ei petetä	skvr06128020
t080100_0050	Ei ollut näillä kylillä	skvr07118020
t080100_0060	Ei oo alku aineesta	skvr03116880
t080100_0070	Ei taitu talven selkä, pakkasen paksu niska	skvr05107710
t080100_0080	Ei tytti manalle joua	skvr07145000
t080100_0090	Eipä tunne poloinen piika	skvr10101570
t080100_0100	Emäkuva ennen poiki	skvr13002340,skvr13103670,skvr13126910
t080100_0110	En minä sinua kiitä	skvr07127610
t080100_0120	En voi maata lokkien lojulta	skvr07118790,skvr07145150
t080100_0130	Enemmän emoni tiesi	skvr05211630,skvr05215890,skvr05200160,skvr05222020,skvr05200360,skvr13032130
t080100_0140	Enk' on toiste tullekkana	skvr07118490
t080100_0150	Enpä tiedä tikka raukka kuta tammea takonen	skvr07118590,skvr10100190,skvr13107760,skvr13126970
t080100_0160	Ensin huutaa huijahuttaa	skvr10120270
